iter	MultiClass
0	-1.353556972
1	-1.326666575
2	-1.299364488
3	-1.273888089
4	-1.250292425
5	-1.229539747
6	-1.208931218
7	-1.192160264
8	-1.17647881
9	-1.159699891
10	-1.143666758
11	-1.128770667
12	-1.114557455
13	-1.100892437
14	-1.086657803
15	-1.074650614
16	-1.063245931
17	-1.052268679
18	-1.041418062
19	-1.031026061
20	-1.021558552
21	-1.011799601
22	-1.002551917
23	-0.9954576953
24	-0.9869762144
25	-0.9786569028
26	-0.9721038074
27	-0.9651652837
28	-0.9580218367
29	-0.9518791632
30	-0.9460683481
31	-0.9395957022
32	-0.9334434747
33	-0.9285924907
34	-0.9231390891
35	-0.9183287067
36	-0.9132843766
37	-0.90899723
38	-0.9045402708
39	-0.9012737288
40	-0.8962726182
41	-0.8925586877
42	-0.8881269682
43	-0.8841206538
44	-0.880644213
45	-0.8774392484
46	-0.8735910775
47	-0.8707775401
48	-0.8682688591
49	-0.8658624929
50	-0.8627305611
51	-0.8600272466
52	-0.8571592918
53	-0.8545686719
54	-0.8523634008
55	-0.8494921732
56	-0.8474161226
57	-0.8456692502
58	-0.8439500663
59	-0.8417738467
60	-0.8395421606
61	-0.8370495903
62	-0.8354265333
63	-0.8338135564
64	-0.8318964252
65	-0.8304577046
66	-0.8281094585
67	-0.826410521
68	-0.8249981806
69	-0.8234529793
70	-0.8220860543
71	-0.8202498637
72	-0.8186804138
73	-0.8172181383
74	-0.8158804073
75	-0.8142490287
76	-0.8130475211
77	-0.8119715423
78	-0.8107548606
79	-0.8103225262
80	-0.8093764075
81	-0.8080269829
82	-0.8074997641
83	-0.8062305442
84	-0.8055227858
85	-0.8047693675
86	-0.8037642812
87	-0.8029309103
88	-0.8021791913
89	-0.8011220879
90	-0.8002664656
91	-0.8000502019
92	-0.7989933123
93	-0.7982131117
94	-0.7972362461
95	-0.7959168989
96	-0.7951668842
97	-0.7942636507
98	-0.7936131488
99	-0.7928268085
100	-0.7919088014
101	-0.7913534109
102	-0.7902900788
103	-0.7895641583
104	-0.7890385326
105	-0.7884832329
106	-0.7878810722
107	-0.7870280713
108	-0.7864007412
109	-0.785816265
110	-0.784933211
111	-0.7842911068
112	-0.7840591122
113	-0.7830944444
114	-0.7822770077
115	-0.7817138081
116	-0.7810243816
117	-0.7807461976
118	-0.7802377584
119	-0.7797994991
120	-0.7793400811
121	-0.778634007
122	-0.7781823403
123	-0.7779141128
124	-0.777280855
125	-0.7769674206
126	-0.7767685263
127	-0.776328814
128	-0.7758278422
129	-0.7753974374
130	-0.7751871293
131	-0.7748356371
132	-0.774185614
133	-0.7737819823
134	-0.7735834637
135	-0.7730923821
136	-0.7724916961
137	-0.7724235014
138	-0.7720707124
139	-0.7715119141
140	-0.7714027112
141	-0.7710165178
142	-0.7707528366
143	-0.7703359682
144	-0.7700327651
145	-0.7696725201
146	-0.7692484377
147	-0.7689368543
148	-0.7686374361
149	-0.7684375314
150	-0.7681961951
151	-0.7680847254
152	-0.7674824054
153	-0.7674186668
154	-0.767086058
155	-0.7666056239
156	-0.7664255179
157	-0.7661457158
158	-0.7659072929
159	-0.7658575978
160	-0.7653757731
161	-0.765336537
162	-0.765136443
163	-0.765000589
164	-0.7646724339
165	-0.7644356058
166	-0.7643395741
167	-0.7642611452
168	-0.7638606758
169	-0.7636743166
170	-0.7634669568
171	-0.763052236
172	-0.7630209765
173	-0.7628562928
174	-0.7625299506
175	-0.7624034978
176	-0.7621076976
177	-0.762033745
178	-0.7618822663
179	-0.7616629811
180	-0.7616556852
181	-0.7615677487
182	-0.7614101571
183	-0.7611298891
184	-0.7606687801
185	-0.7603013029
186	-0.7601112524
187	-0.7597502766
188	-0.759469245
189	-0.7591434239
190	-0.7589456166
191	-0.758820702
192	-0.7587191579
193	-0.7583779261
194	-0.75835572
195	-0.7582053714
196	-0.757968314
197	-0.7577094782
198	-0.7576765272
199	-0.7575206165
200	-0.75728014
201	-0.7570237621
202	-0.7569745166
203	-0.7568993416
204	-0.7567350916
205	-0.7562467325
206	-0.7560889134
207	-0.7558235418
208	-0.7556950016
209	-0.7556672173
210	-0.7553586985
211	-0.755130496
212	-0.7546558938
213	-0.7545629417
214	-0.7543175774
215	-0.7542801295
216	-0.7541379157
217	-0.7539531368
218	-0.7537173507
219	-0.7537066959
220	-0.7535754674
221	-0.7535085687
222	-0.7533748829
223	-0.7533470153
224	-0.753083972
225	-0.7529233784
226	-0.7527298453
227	-0.7526257775
228	-0.7526063689
229	-0.7522115167
230	-0.7521467436
231	-0.7518372719
232	-0.7514290581
233	-0.7510497589
234	-0.7510328428
235	-0.7507874636
236	-0.7507429482
237	-0.7506917868
238	-0.7506722387
239	-0.7504869078
240	-0.750354868
241	-0.7500299404
242	-0.7498363987
243	-0.7494824933
244	-0.7493543651
245	-0.7491859418
246	-0.7490940772
247	-0.7490132352
248	-0.7489457461
249	-0.7489430373
250	-0.748870357
251	-0.748319359
252	-0.7479323762
253	-0.7478863887
254	-0.7477442377
255	-0.7474149253
256	-0.7473412237
