iter	Passed	Remaining
0	158	166080
1	223	117033
2	369	129019
3	442	115666
4	508	106199
5	660	114906
6	732	109070
7	779	101482
8	822	95130
9	996	103594
10	1135	107288
11	1289	111584
12	1458	116344
13	1559	115388
14	1763	121653
15	1858	120121
16	2069	125774
17	2158	123729
18	2365	128336
19	2549	131288
20	2687	131688
21	2867	133992
22	3052	136320
23	3116	133223
24	3324	136302
25	3514	138399
26	3608	136726
27	3815	139275
28	3936	138602
29	4149	141077
30	4274	140496
31	4492	142904
32	4716	145350
33	4811	143775
34	4940	143283
35	5132	144566
36	5326	145817
37	5527	147196
38	5652	146538
39	5747	145120
40	5925	145816
41	6043	145039
42	6210	145451
43	6421	146822
44	6546	146210
45	6747	147271
46	6921	147700
47	7123	148697
48	7210	147305
49	7299	145980
50	7502	146950
51	7686	147518
52	7872	148098
53	8064	148746
54	8178	147962
55	8392	148962
56	8493	147963
57	8632	147647
58	8833	148369
59	8953	147740
60	9106	147644
61	9344	148913
62	9463	148263
63	9635	148454
64	9816	148754
65	9964	148563
66	10246	150328
67	10461	151082
68	10593	150607
69	10801	151215
70	10878	150005
71	11067	150339
72	11148	149200
73	11424	150683
74	11525	149836
75	11765	150778
76	12009	151759
77	12168	151632
78	12442	152931
79	12501	151580
80	12703	151967
81	12981	153241
82	13092	152540
83	13190	151692
84	13281	150780
85	13374	149914
86	13432	148688
87	13659	149318
88	13714	148090
89	13920	148490
90	14122	148830
91	14161	147464
92	14442	148618
93	14656	149058
94	14737	148150
95	14962	148687
96	15261	149945
97	15402	149626
98	15614	149993
99	15818	150274
100	16005	150389
101	16062	149289
102	16278	149670
103	16493	150030
104	16582	149240
105	16670	148463
106	16818	148219
107	16937	147733
108	17124	147836
109	17367	148417
110	17648	149298
111	17852	149517
112	17982	149108
113	18173	149211
114	18393	149547
115	18473	148743
116	18692	149061
117	18752	148113
118	18963	148362
119	19055	147677
120	19318	148323
121	19537	148614
122	19776	149045
123	20040	149658
124	20276	150047
125	20501	150342
126	20566	149467
127	20827	150019
128	21092	150590
129	21247	150366
130	21313	149523
131	21532	149751
132	21801	150312
133	22066	150844
134	22135	150030
135	22349	150198
136	22579	150474
137	22617	149473
138	22826	149605
139	23046	149799
140	23086	148836
141	23315	149088
142	23407	148464
143	23637	148716
144	23728	148099
145	23961	148365
146	24181	148541
147	24389	148643
148	24453	147867
149	24570	147423
150	24647	146742
151	24688	145859
152	24877	145850
153	24918	144982
154	25145	145194
155	25357	145320
156	25555	145356
157	25737	145302
158	25828	144737
159	25867	143889
160	26005	143595
161	26064	142870
162	26288	143052
163	26348	142348
164	26443	141834
165	26508	141164
166	26597	140630
167	26635	139836
168	26868	140064
169	27009	139813
170	27250	140076
171	27485	140303
172	27524	139533
173	27619	139050
174	27766	138830
175	27975	138923
176	28120	138694
177	28176	138033
178	28238	137404
179	28299	136781
180	28336	136048
181	28394	135420
182	28535	135193
183	28666	134918
184	28905	135153
185	29113	135237
186	29332	135369
187	29560	135539
188	29791	135715
189	30015	135859
190	30225	135934
191	30343	135599
192	30434	135143
193	30661	135289
194	30700	134611
195	30787	134146
196	31042	134411
197	31183	134183
198	31245	133619
199	31282	132950
200	31516	133122
201	31738	133240
202	31776	132583
203	31912	132343
204	32010	131945
205	32205	131948
206	32270	131420
207	32405	131181
208	32647	131369
209	32688	130753
210	32916	130885
211	33138	130989
212	33253	130673
213	33450	130677
214	33672	130773
215	33709	130157
216	33803	129761
217	33936	129519
218	34155	129602
219	34193	129001
220	34330	128777
221	34368	128185
222	34427	127674
223	34520	127294
224	34747	127405
225	34969	127500
226	35029	127001
227	35070	126438
228	35126	125933
229	35255	125692
230	35351	125336
231	35513	125216
232	35738	125316
233	35918	125252
234	35960	124712
235	36041	124312
236	36079	123767
237	36118	123227
238	36179	122768
239	36398	122846
240	36620	122927
241	36842	123011
242	36918	122607
243	37138	122679
244	37193	122208
245	37395	122219
246	37634	122349
247	37845	122388
248	37886	121876
249	37924	121357
250	37984	120913
251	38194	120948
252	38421	121035
253	38459	120527
254	38659	120525
255	38878	120585
256	39104	120661
257	39197	120325
258	39404	120343
259	39446	119856
260	39502	119414
261	39734	119506
262	39952	119554
263	40048	119236
264	40248	119225
265	40459	119248
266	40534	118871
267	40752	118913
268	40961	118926
269	41161	118910
270	41259	118602
271	41296	118121
272	41507	118136
273	41727	118176
274	41786	117761
275	41957	117664
276	42182	117714
277	42384	117700
278	42596	117713
279	42686	117386
280	42769	117046
281	42809	116588
282	43031	116626
283	43273	116715
284	43333	116317
285	43568	116385
286	43623	115975
287	43860	116047
288	43899	115596
289	44119	115624
290	44239	115388
291	44451	115391
292	44509	114995
293	44740	115046
294	44972	115098
295	45182	115092
296	45402	115111
297	45439	114665
298	45670	114709
299	45708	114271
300	45942	114321
301	46186	114396
302	46385	114356
303	46575	114294
304	46834	114397
305	47007	114291
306	47224	114292
307	47463	114343
308	47683	114348
309	47775	114045
310	47959	113962
311	48161	113921
312	48200	113494
313	48431	113520
314	48634	113480
315	48862	113497
316	49067	113458
317	49294	113469
318	49353	113095
319	49433	112770
320	49612	112672
321	49752	112484
322	49843	112185
323	50056	112163
324	50269	112140
325	50498	112149
326	50690	112076
327	50871	111978
328	51107	112001
329	51314	111959
330	51533	111940
331	51738	111893
332	51796	111525
333	52010	111496
334	52213	111441
335	52504	111572
336	52709	111519
337	52890	111415
338	53076	111319
339	53248	111195
340	53450	111133
341	53686	111139
342	53939	111180
343	54176	111186
344	54363	111090
345	54589	111071
346	54775	110971
347	55016	110982
348	55195	110865
349	55428	110857
350	55643	110812
351	55869	110785
352	56106	110783
353	56296	110684
354	56527	110665
355	56749	110629
356	56978	110605
357	57192	110550
358	57415	110512
359	57668	110531
360	57884	110478
361	58118	110458
362	58358	110446
363	58536	110317
364	58813	110376
365	59064	110382
366	59309	110377
367	59549	110360
368	59728	110230
369	60012	110293
370	60254	110277
371	60522	110307
372	60717	110202
373	60899	110075
374	61135	110043
375	61287	109861
376	61550	109876
377	61720	109725
378	61892	109576
379	61990	109299
380	62256	109316
381	62518	109325
382	62752	109283
383	63023	109306
384	63370	109458
385	63624	109446
386	64044	109719
387	64393	109867
388	64707	109952
389	65084	110143
390	65338	110122
391	65684	110256
392	65954	110259
393	66244	110295
394	66458	110203
395	66730	110206
396	66984	110178
397	67220	110119
398	67446	110043
399	67695	110004
400	67890	109878
401	68097	109769
402	68338	109713
403	68583	109665
404	68873	109686
405	69245	109838
406	69513	109821
407	69796	109826
408	70119	109893
409	70370	109847
410	70663	109863
411	70985	109924
412	71300	109972
413	71555	109925
414	71774	109823
415	72052	109810
416	72304	109756
417	72572	109727
418	72772	109592
419	73070	109606
420	73289	109498
421	73543	109443
